Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,11.3,21.8,.519,2.1,5.7,.375,9.2,16.1,.571,.569,7.9,8.8,.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,,gilgesh01
2,Giannis Antetokounmpo,30,MIL,PF,66,66,34.1,11.8,19.7,.603,0.2,0.9,.230,11.6,18.7,.621,.608,6.5,10.5,.612,2.2,9.7,11.9,6.3,0.9,1.2,3.1,2.3,30.4,,antetgi01
3,Nikola Jokić,29,DEN,C,68,68,36.8,11.3,19.6,.575,2.0,4.8,.414,9.3,14.9,.627,.625,5.3,6.5,.808,2.9,9.9,12.8,10.2,1.8,0.6,3.3,2.3,29.8,,jokicni01
4,Anthony Edwards,23,MIN,SG,77,77,36.4,9.1,20.4,.447,4.1,10.2,.397,5.1,10.2,.497,.546,5.3,6.4,.836,0.8,4.9,5.7,4.5,1.1,0.6,3.2,1.9,27.6,,edwaran01
5,Jayson Tatum,26,BOS,PF,71,71,36.5,9.2,20.4,.453,3.5,10.1,.344,5.8,10.3,.560,.538,5.0,6.2,.813,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,27.0,,tatumja01
6,Kevin Durant,36,PHO,PF,62,62,36.5,9.5,18.1,.527,2.6,6.0,.430,7.0,12.1,.574,.598,4.9,5.8,.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,,duranke01
7,Cade Cunningham,23,DET,PG,69,69,35.0,9.7,20.8,.466,2.1,6.0,.354,7.6,14.8,.511,.517,4.5,5.3,.847,0.8,5.3,6.1,9.1,1.0,0.7,4.4,2.8,26.0,,cunnica01
8,Jalen Brunson,28,NYK,PG,64,64,35.4,9.0,18.5,.487,2.3,6.1,.382,6.7,12.4,.538,.550,5.7,6.9,.821,0.4,2.5,2.9,7.4,0.9,0.1,2.5,2.1,26.0,,brunsja01
9,Devin Booker,28,PHO,SG,74,74,37.4,8.7,19.0,.459,2.5,7.4,.332,6.3,11.6,.540,.523,5.8,6.5,.894,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.7,25.7,,bookede01
10,Damian Lillard,34,MIL,PG,58,58,36.1,7.7,17.1,.448,3.4,9.0,.376,4.3,8.1,.528,.547,6.2,6.8,.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,,lillada01
11,LeBron James,40,LAL,SF,69,69,35.1,9.3,18.2,.512,2.1,5.7,.378,7.2,12.6,.573,.571,3.7,4.8,.782,1.0,6.8,7.9,8.2,1.0,0.6,3.8,1.4,24.6,,jamesle01
12,Stephen Curry,36,GSW,PG,68,68,32.2,8.1,18.0,.448,4.4,11.2,.395,3.6,6.8,.535,.571,4.0,4.3,.931,0.6,3.9,4.4,6.0,1.1,0.4,2.8,1.3,24.5,,curryst01
13,Karl-Anthony Towns,29,NYK,C,72,72,35.0,8.9,16.9,.526,2.0,4.7,.420,6.9,12.2,.567,.584,4.7,5.7,.829,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4,,townska01
14,Franz Wagner,23,ORL,SF,60,60,33.7,9.0,19.4,.463,1.7,5.9,.295,7.2,13.5,.535,.507,4.5,5.2,.871,0.9,4.8,5.7,4.7,1.3,0.4,2.3,2.5,24.2,,wagnefr01
15,Trae Young,26,ATL,PG,75,75,36.0,7.4,18.1,.411,2.8,8.4,.337,4.6,9.7,.474,.489,6.4,7.3,.876,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.1,,youngtr01
16,Donovan Mitchell,28,CLE,SG,71,71,31.4,8.2,18.6,.443,3.3,8.9,.368,5.0,9.7,.512,.531,4.2,5.1,.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,,mitchdo01
17,Tyler Herro,25,MIA,SG,76,76,35.6,8.5,18.0,.471,3.3,8.8,.373,5.2,9.2,.563,.562,3.7,4.2,.875,0.4,4.8,5.2,5.5,0.9,0.2,2.6,1.1,23.9,,herroty01
18,De'Aaron Fox,27,SAC,PG,62,62,36.1,8.7,18.8,.463,1.9,6.1,.310,6.8,12.6,.538,.514,4.2,5.1,.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5,,foxde01
19,Zach LaVine,29,SAC,SF,72,72,35.2,8.5,16.5,.513,3.2,7.2,.446,5.3,9.3,.565,.610,3.2,3.9,.822,0.3,4.0,4.3,4.2,0.8,0.2,2.8,1.6,23.4,,lavinza01
20,James Harden,35,LAC,PG,77,77,35.0,6.6,16.3,.406,3.0,8.5,.349,3.7,7.8,.468,.496,6.4,7.3,.875,0.7,5.0,5.7,8.7,1.5,0.7,4.3,2.0,22.6,,hardeja01
21,DeMar DeRozan,35,SAC,SF,75,75,36.0,8.2,17.1,.480,1.1,3.3,.331,7.1,13.7,.517,.513,5.0,5.8,.858,0.7,3.3,3.9,4.4,0.8,0.4,1.4,2.0,22.5,,derozde01
22,Jaren Jackson Jr.,25,MEM,C,73,73,29.7,8.0,16.4,.488,2.0,5.2,.377,6.0,11.2,.541,.548,4.3,5.5,.781,1.2,4.5,5.7,2.0,1.3,1.5,2.1,3.5,22.2,,jacksja02
23,Jaylen Brown,28,BOS,SF,63,63,34.3,8.2,17.7,.463,1.8,5.7,.324,6.4,12.1,.529,.515,3.9,5.1,.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,,brownja02
24,Norman Powell,31,LAC,SG,58,58,32.4,7.7,15.9,.485,3.0,7.2,.420,4.7,8.7,.540,.581,3.6,4.5,.807,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.8,22.1,,powelno01
25,Jamal Murray,27,DEN,PG,65,65,36.3,8.0,16.8,.476,2.4,6.0,.396,5.6,10.8,.520,.546,3.2,3.7,.887,0.7,3.2,3.8,6.0,1.4,0.5,2.0,1.9,21.6,,murraja01
26,Jalen Williams,23,OKC,SG,69,69,32.4,8.2,16.9,.484,1.8,4.9,.365,6.4,12.0,.533,.537,3.4,4.3,.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,,willija06
27,Jalen Green,22,HOU,SG,80,80,33.3,7.6,17.8,.426,2.9,8.2,.355,4.7,9.6,.487,.508,3.4,4.2,.811,0.6,4.1,4.6,3.5,0.9,0.3,2.5,1.6,21.4,,greenja05
28,RJ Barrett,24,TOR,SF,58,58,32.2,7.9,16.9,.468,1.8,5.3,.350,6.1,11.7,.522,.523,3.4,5.4,.630,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,,barrerj01
29,Coby White,24,CHI,SG,72,71,33.4,7.0,15.3,.454,3.0,8.1,.371,4.0,7.3,.546,.551,3.8,4.2,.901,0.3,3.3,3.6,4.5,0.9,0.2,2.4,2.1,20.7,,whiteco01
30,Darius Garland,25,CLE,PG,74,74,30.6,7.4,15.6,.470,2.9,7.1,.403,4.5,8.6,.526,.561,3.0,3.4,.883,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.5,,garlada01
31,Jordan Poole,25,WAS,SG,68,68,29.4,6.7,15.5,.432,3.5,9.1,.378,3.3,6.4,.510,.544,3.6,4.0,.883,0.5,2.5,3.0,4.5,1.3,0.4,3.0,3.0,20.5,,poolejo01
32,Miles Bridges,26,CHO,PF,64,64,31.7,7.3,17.0,.431,2.2,7.0,.313,5.1,10.0,.513,.495,3.5,4.0,.870,1.1,6.4,7.5,3.9,0.7,0.7,2.1,1.5,20.3,,bridgmi02
33,Pascal Siakam,30,IND,PF,78,78,32.7,7.9,15.2,.519,1.6,4.2,.389,6.2,11.0,.568,.572,2.9,3.9,.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2,,siakapa01
34,Austin Reaves,26,LAL,SG,72,72,35.0,6.5,14.2,.458,2.7,7.3,.375,3.8,6.9,.545,.554,4.4,5.1,.876,0.8,3.6,4.5,5.8,1.1,0.3,2.4,2.1,20.2,,reaveau01
35,Anfernee Simons,25,POR,SG,70,70,32.7,6.8,16.1,.426,3.1,8.5,.363,3.8,7.6,.496,.521,2.5,2.8,.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3,,simonan01
36,Desmond Bane,26,MEM,SG,68,67,31.9,7.1,14.7,.484,2.4,6.0,.393,4.8,8.7,.548,.565,2.6,2.9,.892,0.9,5.2,6.1,5.4,1.2,0.4,2.4,2.4,19.2,,banede01
37,Alperen Şengün,22,HOU,C,75,75,31.6,7.5,15.1,.496,0.3,1.2,.233,7.2,13.9,.519,.505,3.9,5.7,.692,3.5,6.9,10.4,4.9,1.1,0.8,2.6,2.8,19.2,,sengual01
38,Domantas Sabonis,28,SAC,C,68,68,34.8,7.5,12.8,.589,0.9,2.2,.400,6.6,10.6,.628,.623,3.2,4.2,.753,3.8,10.1,13.9,6.1,0.6,0.4,2.9,3.3,19.1,,sabondo01
39,Scottie Barnes,23,TOR,PF,63,63,32.8,7.1,16.1,.440,1.2,4.4,.269,5.9,11.7,.504,.477,3.5,4.6,.769,1.7,6.0,7.7,5.8,1.5,1.0,2.8,1.8,18.9,,barnesc01
40,Cameron Johnson,28,BRK,PF,57,57,31.6,6.2,13.1,.475,2.8,7.2,.390,3.4,5.9,.578,.582,3.5,3.9,.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8,,johnsca02
41,Julius Randle,30,MIN,PF,67,67,32.3,6.6,13.7,.482,1.5,4.6,.338,5.1,9.1,.554,.538,4.0,5.0,.806,2.1,5.0,7.1,4.7,0.7,0.2,2.8,2.6,18.8,,randlju01
42,Nikola Vučević,34,CHI,C,71,70,31.5,7.6,14.3,.533,1.8,4.5,.404,5.8,9.8,.592,.596,1.7,2.1,.803,2.4,7.7,10.1,3.5,0.8,0.7,1.6,2.3,18.7,,vucevni01
43,Tyrese Haliburton,24,IND,PG,73,73,33.6,6.5,13.8,.473,3.0,7.7,.388,3.5,6.1,.581,.582,2.6,3.0,.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,,halibty01
44,Evan Mobley,23,CLE,PF,70,70,30.4,7.2,12.8,.560,1.2,3.2,.373,6.0,9.6,.623,.607,3.0,4.2,.729,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.6,,mobleev01
45,Shaedon Sharpe,21,POR,SG,72,52,31.3,6.9,15.3,.452,2.0,6.6,.311,4.9,8.8,.557,.519,2.6,3.4,.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5,,sharpsh01
46,Collin Sexton,26,UTA,SG,63,61,27.9,6.6,13.8,.480,1.7,4.3,.406,4.9,9.5,.513,.543,3.4,4.0,.865,1.0,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4,,sextoco01
47,Michael Porter Jr.,26,DEN,SF,75,75,33.8,6.9,13.7,.504,2.5,6.4,.395,4.4,7.3,.600,.596,1.9,2.5,.768,1.8,5.1,6.9,2.2,0.7,0.5,1.4,2.0,18.3,,portemi01
48,Andrew Wiggins,29,2TM,SF,59,59,30.8,6.3,14.0,.450,2.2,5.8,.378,4.1,8.2,.502,.529,3.3,4.3,.764,1.5,3.0,4.5,2.6,1.0,0.8,1.7,1.7,18.1,,wiggian01
49,OG Anunoby,27,NYK,PF,73,73,36.6,6.6,13.8,.479,2.3,6.2,.375,4.3,7.6,.563,.562,2.5,3.1,.813,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0,,anunoog01
50,Bam Adebayo,27,MIA,C,77,77,34.4,6.9,14.3,.483,1.0,2.8,.349,5.9,11.5,.516,.517,3.2,4.2,.765,2.4,7.2,9.6,4.3,1.2,0.7,2.1,2.1,18.0,,adebaba01
51,Mikal Bridges,28,NYK,SF,80,80,37.5,7.3,14.6,.501,2.0,5.7,.356,5.3,8.9,.594,.571,1.2,1.4,.814,0.9,2.4,3.2,3.7,0.9,0.5,1.7,1.6,17.8,,bridgmi01
52,Malik Monk,26,SAC,SG,65,45,31.6,6.3,14.4,.439,2.1,6.6,.325,4.2,7.9,.534,.513,2.4,2.7,.865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2,,monkma01
53,De'Andre Hunter,27,2TM,SF,64,9,27.2,5.6,11.9,.470,2.5,6.1,.405,3.1,5.8,.537,.573,3.4,4.0,.846,0.7,3.3,4.0,1.4,0.8,0.2,1.3,2.4,17.0,,huntede01
54,Deni Avdija,24,POR,SF,72,54,30.0,5.6,11.7,.476,1.7,4.8,.365,3.8,7.0,.552,.550,4.0,5.2,.780,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9,,avdijde01
55,Keyonte George,21,UTA,PG,65,33,31.2,5.4,13.6,.396,2.7,7.6,.350,2.7,6.0,.453,.493,3.4,4.2,.815,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.9,,georgke01
56,Ivica Zubac,27,LAC,C,78,78,32.6,7.3,11.7,.626,0.0,0.0,,7.3,11.7,.626,.626,2.0,3.0,.660,3.8,8.8,12.6,2.7,0.7,1.1,1.6,2.1,16.7,,zubaciv01
57,Derrick White,30,BOS,SG,75,75,33.9,5.5,12.6,.439,3.5,9.1,.383,2.1,3.5,.586,.578,1.8,2.1,.839,0.9,3.6,4.5,4.7,0.9,1.0,1.7,1.8,16.4,,whitede01
58,Devin Vassell,24,SAS,SG,64,53,31.0,6.2,13.9,.443,2.5,6.7,.368,3.7,7.2,.513,.532,1.5,1.9,.792,0.5,3.5,4.0,2.9,1.3,0.5,1.4,1.7,16.3,,vassede01
59,Malik Beasley,28,DET,SG,80,18,28.0,5.6,13.0,.428,3.8,9.3,.412,1.8,3.8,.470,.575,1.2,1.8,.679,0.6,2.1,2.7,1.7,0.9,0.1,1.0,1.5,16.2,,beaslma01
60,Bennedict Mathurin,22,IND,SF,71,48,29.7,5.4,11.8,.462,1.4,4.0,.342,4.1,7.8,.524,.520,3.8,4.5,.837,1.2,4.1,5.3,1.9,0.6,0.3,1.8,2.3,16.0,,mathube01
61,Myles Turner,28,IND,C,71,71,30.4,5.5,11.4,.480,2.2,5.5,.395,3.3,5.8,.559,.576,2.6,3.3,.771,1.3,5.4,6.6,1.5,0.8,2.0,1.7,2.6,15.6,,turnemy01
62,Christian Braun,23,DEN,SG,77,75,33.9,6.1,10.5,.580,1.2,2.9,.403,4.9,7.6,.647,.635,2.2,2.7,.823,1.3,3.9,5.2,2.5,1.1,0.5,1.0,2.1,15.5,,braunch01
63,Kelly Oubre Jr.,29,PHI,SF,60,57,34.6,5.8,12.4,.470,1.2,4.0,.293,4.6,8.3,.555,.518,2.3,3.1,.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,,oubreke01
64,Kyle Kuzma,29,2TM,PF,63,60,30.2,5.7,13.2,.432,1.4,4.8,.292,4.3,8.4,.511,.485,2.0,3.2,.633,0.9,5.0,5.8,2.4,0.6,0.3,2.3,1.9,14.8,,kuzmaky01
65,Quentin Grimes,24,2TM,SG,74,36,26.7,5.1,10.9,.471,2.2,5.6,.393,3.0,5.4,.552,.571,2.2,2.9,.755,0.8,3.5,4.3,3.0,1.0,0.3,1.9,1.8,14.6,,grimequ01
66,Stephon Castle,20,SAS,PG,79,45,26.5,5.2,12.2,.428,1.2,4.1,.283,4.1,8.1,.502,.476,3.0,4.2,.715,1.1,2.5,3.6,4.0,0.9,0.3,2.2,2.1,14.6,,castlst01
67,Josh Giddey,22,CHI,PG,70,69,30.2,5.3,11.4,.465,1.5,4.0,.378,3.8,7.4,.512,.531,2.5,3.2,.781,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,14.6,,giddejo01
68,Jakob Poeltl,29,TOR,C,57,56,29.6,6.4,10.2,.627,0.0,0.1,.333,6.4,10.1,.628,.628,1.7,2.5,.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5,,poeltja01
69,Naz Reid,25,MIN,C,78,17,27.6,5.4,11.6,.461,2.2,5.8,.382,3.1,5.8,.541,.557,1.4,1.8,.775,1.1,4.9,6.0,2.3,0.7,0.9,1.4,2.4,14.4,,reidna01
70,Dyson Daniels,21,ATL,SG,75,75,33.8,6.0,12.2,.495,1.1,3.1,.346,4.9,9.1,.545,.538,1.1,1.8,.601,1.6,4.2,5.9,4.3,3.0,0.7,2.0,2.3,14.2,,daniedy01
71,Dillon Brooks,29,HOU,SF,74,74,32.0,5.1,12.0,.430,2.5,6.3,.397,2.7,5.7,.466,.534,1.3,1.6,.818,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,14.1,,brookdi01
72,Klay Thompson,34,DAL,SF,71,71,27.4,5.0,12.2,.412,3.0,7.7,.392,2.0,4.5,.445,.536,0.9,1.0,.905,0.6,2.8,3.5,2.0,0.7,0.4,1.2,1.1,14.1,,thompkl01
73,Fred VanVleet,30,HOU,PG,59,59,35.3,4.8,12.6,.378,2.6,7.7,.344,2.1,5.0,.430,.483,1.8,2.3,.813,0.5,3.2,3.7,5.6,1.6,0.4,1.4,2.3,14.1,,vanvlfr01
74,Amen Thompson,22,HOU,SF,68,41,32.3,5.6,10.1,.555,0.4,1.3,.278,5.3,8.8,.597,.573,2.4,3.6,.683,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.0,,thompam01
75,Payton Pritchard,27,BOS,PG,78,2,28.3,4.9,10.6,.465,3.2,7.8,.406,1.8,2.8,.629,.614,0.9,1.1,.841,1.3,2.5,3.8,3.4,0.9,0.2,1.0,1.5,13.9,,pritcpa01
76,Tobias Harris,32,DET,PF,71,71,31.9,5.3,11.2,.475,1.2,3.6,.340,4.1,7.5,.540,.530,2.0,2.3,.870,0.9,5.1,6.0,2.2,1.0,0.8,1.2,1.9,13.8,,harrito02
